Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
49,No,Travel_Rarely,490,Research & Development,11,5,Medical,1,13,2,Male,48,1,4,Laboratory Technician,3,Single,15483,14131,0,Y,No,11,3,3,80,2,12,4,1,7,2,1,3
50,No,Travel_Frequently,1277,Research & Development,13,5,Life Sciences,1,14,4,Male,61,1,3,Manufacturing Director,4,Single,7023,8810,3,Y,No,15,3,1,80,0,19,4,4,14,9,3,7
48,No,Travel_Rarely,1161,Sales,26,1,Life Sciences,1,15,4,Female,49,4,4,Human Resources,1,Divorced,14377,10943,2,Y,No,25,3,3,80,0,16,3,3,7,2,1,2
51,No,Travel_Rarely,877,Research & Development,9,1,Life Sciences,1,16,1,Female,33,4,5,Manager,1,Single,19359,12834,3,Y,No,13,3,2,80,3,20,1,2,15,10,3,12
40,No,Travel_Rarely,1286,Research & Development,22,2,Marketing,1,17,3,Male,32,3,5,Healthcare Representative,3,Married,19753,13516,0,Y,No,20,3,4,80,1,10,1,1,9,4,3,6
23,No,Travel_Rarely,418,Sales,4,1,Medical,1,18,1,Male,69,4,2,Manager,1,Divorced,5807,7281,2,Y,No,16,3,3,80,3,1,6,4,0,0,0,0
54,No,Travel_Rarely,1215,Research & Development,7,3,Life Sciences,1,19,3,Female,56,1,5,Manager,4,Single,19003,5231,4,Y,No,18,3,4,80,3,19,2,3,9,6,5,7
37,No,Travel_Rarely,1030,Sales,6,3,Medical,1,20,3,Male,69,4,4,Manager,3,Married,14514,14108,0,Y,Yes,14,3,4,80,3,9,1,2,5,4,2,3
39,No,Non-Travel,899,Research & Development,22,3,Life Sciences,1,21,4,Male,80,2,3,Laboratory Technician,2,Single,9502,9150,3,Y,No,24,3,1,80,0,7,0,2,7,6,1,5
33,No,Travel_Frequently,621,Research & Development,29,1,Life Sciences,1,22,4,Male,67,2,3,Manufacturing Director,3,Single,10656,3008,0,Y,No,17,3,3,80,3,15,2,2,10,5,3,7
25,Yes,Travel_Frequently,269,Research & Development,8,5,Human Resources,1,23,2,Male,69,4,2,Laboratory Technician,1,Single,4177,23437,1,Y,No,11,3,3,80,3,2,5,2,2,2,0,1
57,No,Travel_Rarely,914,Research & Development,6,5,Life Sciences,1,24,1,Male,80,2,5,Laboratory Technician,2,Divorced,16793,13976,5,Y,No,15,4,2,80,3,16,2,4,6,4,1,4
51,No,Travel_Rarely,1223,Research & Development,10,3,Life Sciences,1,25,2,Male,42,3,4,Research Scientist,3,Single,12144,4309,1,Y,No,15,3,1,80,2,16,3,1,4,3,1,3
45,No,Travel_Rarely,237,Sales,6,1,Medical,1,26,1,Female,46,2,2,Research Scientist,4,Single,3324,10848,3,Y,No,24,3,2,80,0,18,4,2,18,4,2,12
35,No,Travel_Rarely,326,Sales,8,2,Life Sciences,1,27,1,Male,81,3,3,Laboratory Technician,4,Divorced,7060,5053,1,Y,No,11,3,1,80,1,2,4,3,1,0,0,1
53,Yes,Travel_Rarely,1331,Research & Development,10,4,Marketing,1,28,3,Female,47,1,3,Manufacturing Director,3,Single,6908,25980,3,Y,No,15,3,4,80,1,21,0,1,8,2,1,2
41,No,Travel_Rarely,1308,Research & Development,10,4,Other,1,29,4,Male,92,1,2,Laboratory Technician,2,Divorced,5000,14137,2,Y,No,13,3,1,80,1,9,2,3,9,7,1,7
37,No,Travel_Rarely,933,Research & Development,3,2,Medical,1,30,3,Male,59,3,3,Sales Executive,4,Married,9526,23928,2,Y,No,13,3,1,80,1,11,4,3,11,3,4,5
37,No,Travel_Rarely,742,Research & Development,8,5,Medical,1,31,3,Male,35,4,2,Research Scientist,1,Married,6252,10608,1,Y,Yes,25,3,1,80,3,8,4,3,3,1,2,2
27,No,Travel_Frequently,108,Sales,29,5,Life Sciences,1,32,3,Male,79,1,2,Research Scientist,2,Married,4753,25781,3,Y,No,22,3,1,80,1,13,2,3,9,5,3,6
21,No,Travel_Rarely,1375,Sales,3,3,Medical,1,33,4,Male,60,3,1,Manager,2,Married,2357,25345,1,Y,Yes,25,3,1,80,1,3,1,2,2,2,1,1
41,No,Travel_Rarely,883,Sales,13,2,Life Sciences,1,34,1,Male,38,1,3,Research Scientist,3,Single,10913,18502,4,Y,No,23,4,3,80,1,9,1,3,6,4,2,2
56,No,Travel_Rarely,213,Human Resources,12,3,Life Sciences,1,35,3,Male,45,3,4,Sales Executive,3,Divorced,14714,12515,1,Y,Yes,23,3,1,80,2,18,0,4,4,3,1,3
20,No,Travel_Rarely,607,Research & Development,29,1,Technical Degree,1,36,4,Male,92,4,2,Sales Executive,2,Divorced,5707,26300,0,Y,No,19,3,3,80,1,3,0,2,3,1,1,1
54,No,Travel_Frequently,1268,Research & Development,13,3,Medical,1,37,1,Female,62,2,4,Laboratory Technician,4,Divorced,14146,16352,3,Y,No,18,3,2,80,3,18,6,2,8,7,1,3
53,No,Travel_Rarely,1367,Sales,29,1,Medical,1,38,3,Male,47,4,4,Sales Executive,2,Married,13653,6813,1,Y,No,16,3,2,80,3,19,2,3,14,3,1,3
29,No,Travel_Frequently,991,Sales,13,1,Life Sciences,1,39,1,Male,68,2,1,Laboratory Technician,3,Married,5404,3848,0,Y,Yes,12,3,3,80,1,6,2,1,4,2,2,2
45,No,Travel_Frequently,295,Research & Development,8,3,Technical Degree,1,40,4,Female,39,4,3,Manufacturing Director,1,Married,8272,15353,1,Y,No,23,3,1,80,1,9,3,2,9,5,3,2
25,No,Travel_Rarely,326,Research & Development,13,3,Life Sciences,1,41,3,Female,57,3,2,Human Resources,1,Single,5679,8265,0,Y,Yes,16,3,3,80,3,3,3,1,0,0,0,0
50,Yes,Travel_Rarely,568,Research & Development,4,5,Life Sciences,1,42,4,Male,72,2,5,Healthcare Representative,1,Married,17021,20602,4,Y,Yes,21,3,3,80,3,18,0,2,14,9,2,11
48,No,Travel_Rarely,1167,Research & Development,14,3,Technical Degree,1,43,2,Male,97,2,3,Sales Executive,1,Married,7736,15777,1,Y,No,25,3,3,80,3,13,6,1,9,6,4,4
33,No,Travel_Rarely,1170,Research & Development,8,5,Medical,1,44,3,Male,49,4,2,Laboratory Technician,4,Married,4839,14106,1,Y,No,16,3,1,80,0,11,3,1,7,2,1,5
20,No,Travel_Rarely,1148,Research & Development,8,5,Human Resources,1,45,4,Female,88,2,1,Sales Representative,3,Married,3584,9114,1,Y,No,13,3,1,80,0,3,3,2,3,1,1,1
59,No,Non-Travel,416,Human Resources,23,2,Life Sciences,1,46,1,Female,59,2,4,Research Scientist,4,Married,13070,7417,1,Y,No,16,3,1,80,2,19,3,3,14,4,7,4
37,No,Travel_Rarely,538,Research & Development,10,5,Medical,1,47,4,Female,93,3,2,Human Resources,2,Married,5558,7101,0,Y,No,25,3,4,80,1,14,6,2,9,2,2,6
56,No,Travel_Frequently,539,Research & Development,2,3,Other,1,48,3,Male,34,1,4,Laboratory Technician,1,Married,13272,18377,2,Y,Yes,11,3,2,80,1,13,6,4,10,8,4,4
47,No,Travel_Rarely,1120,Research & Development,17,3,Medical,1,49,3,Male,39,1,4,Sales Executive,2,Divorced,12679,21621,2,Y,No,14,4,1,80,0,12,0,4,11,7,5,9
51,No,Non-Travel,1179,Sales,19,1,Medical,1,50,3,Female,63,2,3,Research Scientist,1,Married,7130,26281,7,Y,Yes,11,3,1,80,3,21,4,1,21,6,10,7
50,No,Travel_Rarely,143,Research & Development,29,2,Life Sciences,1,51,4,Male,85,2,4,Human Resources,2,Single,13792,18950,2,Y,No,22,3,2,80,0,22,1,3,9,2,0,7
26,No,Travel_Rarely,1097,Sales,14,3,Marketing,1,52,1,Female,51,3,2,Human Resources,1,Single,5624,15124,2,Y,No,13,4,2,80,2,13,0,1,12,9,2,6
33,No,Travel_Rarely,644,Research & Development,9,2,Technical Degree,1,53,2,Female,38,2,3,Research Director,1,Married,8268,19277,2,Y,No,15,3,4,80,3,8,3,1,7,5,4,5
38,No,Travel_Rarely,604,Research & Development,17,3,Medical,1,54,2,Female,42,2,2,Research Scientist,3,Married,4501,8273,0,Y,Yes,14,3,4,80,0,12,3,4,12,10,4,3
39,No,Travel_Frequently,811,Research & Development,5,1,Human Resources,1,55,4,Female,50,4,3,Sales Representative,4,Divorced,8335,23931,4,Y,Yes,11,3,4,80,2,14,3,3,11,3,3,7
19,No,Travel_Rarely,754,Research & Development,8,2,Medical,1,56,1,Male,57,4,1,Research Scientist,1,Single,2613,3103,2,Y,No,24,3,1,80,3,6,0,2,3,2,0,1
41,Yes,Travel_Rarely,1470,Research & Development,18,4,Medical,1,57,1,Male,70,2,2,Laboratory Technician,4,Single,4250,24646,1,Y,Yes,16,4,3,80,1,13,4,1,4,1,0,3
24,No,Travel_Rarely,873,Sales,10,4,Life Sciences,1,58,4,Female,84,2,2,Manager,4,Married,5600,4687,0,Y,Yes,23,3,2,80,1,7,3,2,7,5,4,2
49,No,Travel_Rarely,1255,Sales,3,5,Medical,1,59,2,Male,39,3,4,Human Resources,1,Married,16172,25652,0,Y,No,18,3,1,80,2,17,0,4,14,7,4,6
47,No,Travel_Rarely,1342,Sales,10,5,Technical Degree,1,60,4,Male,84,4,4,Laboratory Technician,1,Divorced,13821,21450,4,Y,Yes,11,3,2,80,3,16,2,3,13,9,6,8
57,No,Travel_Rarely,1474,Research & Development,13,5,Medical,1,61,1,Male,100,3,5,Laboratory Technician,1,Divorced,17247,12547,3,Y,Yes,13,3,3,80,2,16,0,1,11,2,2,5
50,No,Travel_Rarely,1026,Research & Development,10,1,Life Sciences,1,62,3,Male,55,1,5,Research Scientist,3,Married,19999,14179,2,Y,No,11,3,1,80,0,15,6,2,11,8,2,8
33,No,Travel_Rarely,1425,Sales,3,4,Medical,1,63,4,Female,44,3,1,Laboratory Technician,3,Divorced,4509,9421,1,Y,No,14,4,4,80,2,6,5,1,5,2,2,3
59,No,Travel_Rarely,929,Research & Development,1,2,Marketing,1,64,4,Male,99,3,5,Sales Executive,4,Single,19999,7290,1,Y,No,19,3,3,80,0,16,3,1,13,10,6,3
35,No,Non-Travel,617,Research & Development,20,2,Human Resources,1,65,2,Female,94,4,3,Research Director,3,Married,8449,9900,1,Y,No,12,3,4,80,3,3,0,1,3,1,1,2
32,No,Travel_Rarely,1234,Research & Development,19,2,Life Sciences,1,66,3,Male,38,4,2,Sales Executive,1,Divorced,4560,23514,0,Y,Yes,16,3,1,80,1,6,5,4,4,3,1,2
56,No,Travel_Rarely,1334,Research & Development,7,3,Life Sciences,1,67,4,Female,89,3,5,Manager,4,Married,17928,8414,6,Y,No,11,3,1,80,2,18,2,1,7,2,2,4
33,No,Travel_Rarely,527,Sales,7,1,Life Sciences,1,68,4,Male,90,3,1,Research Scientist,4,Divorced,4369,12954,0,Y,No,23,3,4,80,2,9,4,1,1,1,0,0
21,No,Travel_Rarely,1446,Research & Development,9,3,Life Sciences,1,69,2,Female,51,1,2,Laboratory Technician,3,Single,7427,19164,0,Y,No,16,3,4,80,1,5,5,4,1,1,0,0
38,No,Travel_Rarely,722,Research & Development,21,1,Other,1,70,1,Male,99,4,3,Research Scientist,4,Single,7396,21912,4,Y,Yes,25,3,3,80,3,11,2,4,11,5,4,8
52,No,Travel_Rarely,423,Sales,13,3,Medical,1,71,2,Male,43,2,3,Laboratory Technician,2,Married,5476,9670,1,Y,No,15,3,1,80,3,16,6,3,14,5,1,11
26,No,Travel_Rarely,1061,Human Resources,28,4,Medical,1,72,2,Male,70,3,1,Manufacturing Director,3,Divorced,2979,22299,0,Y,No,18,3,2,80,2,2,1,4,1,0,0,1
37,No,Travel_Rarely,441,Research & Development,13,1,Life Sciences,1,73,3,Male,79,3,2,Healthcare Representative,3,Single,4415,6453,4,Y,No,18,4,4,80,3,13,2,1,7,3,1,4
23,Yes,Travel_Rarely,666,Research & Development,6,1,Medical,1,74,3,Male,34,1,1,Human Resources,2,Divorced,2151,19973,0,Y,No,13,3,4,80,0,3,1,1,3,2,1,1
47,No,Non-Travel,847,Research & Development,7,5,Other,1,75,2,Male,95,2,3,Research Scientist,4,Single,8214,4825,0,Y,No,22,4,3,80,0,13,2,2,8,2,4,4
38,No,Travel_Rarely,771,Research & Development,17,4,Medical,1,76,4,Female,95,3,2,Manufacturing Director,3,Married,5992,26315,1,Y,No,24,3,2,80,1,10,5,4,10,2,5,3
32,No,Travel_Rarely,264,Research & Development,29,2,Life Sciences,1,77,1,Male,56,2,3,Human Resources,4,Married,7563,4579,0,Y,Yes,23,3,4,80,0,5,3,1,1,0,0,1
27,No,Travel_Rarely,326,Research & Development,14,5,Life Sciences,1,78,4,Male,61,3,3,Research Scientist,2,Single,8663,24431,0,Y,Yes,17,3,2,80,1,4,6,3,4,2,1,1
42,Yes,Travel_Rarely,213,Research & Development,24,2,Other,1,79,3,Male,56,3,3,Research Director,2,Married,8349,21037,1,Y,Yes,22,4,1,80,0,10,6,1,4,1,1,3
46,No,Travel_Rarely,954,Sales,16,5,Other,1,80,4,Female,42,1,3,Human Resources,4,Married,5734,5218,1,Y,No,17,3,2,80,1,13,2,4,9,6,2,3
58,No,Travel_Rarely,1487,Sales,15,1,Life Sciences,1,81,3,Female,92,2,5,Research Director,1,Married,19654,21389,1,Y,No,13,3,2,80,0,22,5,1,18,4,2,3
36,No,Travel_Rarely,996,Sales,29,4,Medical,1,82,4,Male,93,2,3,Manufacturing Director,3,Single,7959,10655,0,Y,No,21,3,3,80,1,11,3,3,6,5,2,4
24,No,Travel_Rarely,882,Research & Development,5,1,Life Sciences,1,83,1,Male,70,2,1,Manager,4,Single,1483,26562,2,Y,Yes,17,3,3,80,1,10,2,3,5,4,0,1
53,No,Travel_Rarely,1298,Research & Development,9,1,Medical,1,84,1,Male,60,1,4,Laboratory Technician,4,Divorced,13129,25859,2,Y,No,16,3,3,80,1,21,2,2,5,2,1,1
45,No,Non-Travel,136,Research & Development,8,3,Life Sciences,1,85,3,Male,78,1,3,Manufacturing Director,4,Married,8744,25209,5,Y,No,12,3,1,80,3,20,0,4,10,8,3,5
48,No,Travel_Rarely,221,Research & Development,12,1,Marketing,1,86,1,Male,65,2,4,Human Resources,3,Divorced,14055,18420,4,Y,No,14,3,3,80,2,17,3,3,10,6,4,8
22,No,Travel_Frequently,1485,Sales,3,3,Human Resources,1,87,1,Male,83,4,1,Research Scientist,1,Married,3773,24428,0,Y,No,17,4,1,80,0,5,4,2,2,1,0,1
31,No,Travel_Rarely,1358,Research & Development,11,2,Life Sciences,1,88,2,Male,70,4,2,Sales Representative,2,Divorced,6024,13145,1,Y,No,22,4,4,80,2,6,6,3,0,0,0,0
51,No,Non-Travel,877,Research & Development,7,1,Medical,1,89,2,Male,42,4,3,Laboratory Technician,4,Single,7094,3559,4,Y,Yes,16,4,2,80,3,19,2,2,7,5,2,2
53,No,Travel_Rarely,222,Research & Development,7,5,Life Sciences,1,90,3,Male,94,4,5,Sales Executive,3,Married,15455,23565,3,Y,No,13,3,4,80,0,15,0,3,12,4,6,6
36,No,Travel_Rarely,367,Research & Development,25,5,Life Sciences,1,91,3,Female,60,4,3,Healthcare Representative,2,Married,8645,3283,0,Y,No,16,3,4,80,0,4,3,3,0,0,0,0
52,No,Travel_Frequently,1143,Research & Development,6,5,Life Sciences,1,92,3,Male,65,3,5,Sales Representative,4,Single,19757,18005,4,Y,No,11,3,1,80,3,22,2,2,21,6,4,12
54,Yes,Travel_Rarely,424,Research & Development,29,1,Life Sciences,1,93,4,Female,77,1,4,Manufacturing Director,2,Single,13757,15560,3,Y,No,17,4,1,80,0,13,6,3,4,2,2,2
34,No,Travel_Rarely,924,Human Resources,13,2,Other,1,94,1,Female,93,2,3,Sales Representative,2,Married,9293,11323,3,Y,No,18,3,4,80,3,10,4,4,4,3,0,3
56,No,Non-Travel,1160,Research & Development,1,2,Life Sciences,1,95,4,Male,59,3,5,Research Scientist,2,Divorced,17798,20506,2,Y,No,21,3,2,80,1,16,6,3,7,2,1,4
30,No,Travel_Rarely,669,Sales,24,2,Technical Degree,1,96,2,Male,42,2,2,Human Resources,2,Married,5085,8849,2,Y,No,11,3,1,80,3,11,2,2,0,0,0,0
28,Yes,Travel_Rarely,759,Sales,1,3,Life Sciences,1,97,3,Female,37,2,2,Healthcare Representative,3,Single,4395,25277,5,Y,No,20,3,3,80,2,10,3,2,9,7,2,4
47,No,Travel_Rarely,1392,Research & Development,4,3,Medical,1,98,4,Male,73,1,3,Sales Representative,4,Divorced,9337,23290,2,Y,Yes,22,3,4,80,3,16,0,4,13,5,5,5
45,No,Travel_Frequently,1471,Sales,15,3,Medical,1,99,2,Male,59,2,5,Research Scientist,4,Single,17908,24976,2,Y,No,23,3,3,80,3,18,0,4,18,5,6,7
24,Yes,Travel_Frequently,739,Sales,10,2,Human Resources,1,100,1,Female,67,2,1,Laboratory Technician,2,Single,5472,23182,0,Y,Yes,25,3,2,80,2,4,2,2,3,1,1,2
53,No,Travel_Rarely,387,Human Resources,19,5,Life Sciences,1,101,4,Female,90,4,4,Human Resources,2,Divorced,13398,22685,3,Y,No,21,3,2,80,0,25,2,3,6,5,2,2
26,No,Travel_Rarely,136,Sales,7,5,Life Sciences,1,102,3,Female,53,4,1,Sales Executive,4,Married,3958,24964,1,Y,Yes,25,3,2,80,3,8,4,1,2,1,0,0
52,No,Travel_Rarely,353,Human Resources,7,2,Marketing,1,103,1,Male,75,1,4,Laboratory Technician,3,Divorced,13413,24970,3,Y,No,16,3,3,80,0,14,1,3,11,7,4,5
18,No,Travel_Rarely,829,Research & Development,8,2,Marketing,1,104,2,Male,45,3,1,Sales Representative,1,Divorced,4605,21633,0,Y,No,13,4,2,80,1,2,6,1,2,2,1,0
52,No,Travel_Frequently,1470,Research & Development,16,3,Medical,1,105,4,Female,79,4,5,Manager,3,Married,19999,21960,3,Y,No,11,4,2,80,1,16,5,2,5,3,2,2
51,No,Travel_Rarely,845,Research & Development,19,2,Life Sciences,1,106,3,Male,34,2,4,Research Director,4,Single,13611,6695,2,Y,No,24,3,1,80,1,15,6,4,11,8,3,6
51,No,Travel_Rarely,1475,Research & Development,4,5,Life Sciences,1,107,4,Female,44,4,3,Manager,2,Married,8830,6438,3,Y,No,12,3,1,80,0,11,2,1,11,7,3,8
46,No,Travel_Rarely,1141,Research & Development,26,3,Technical Degree,1,108,3,Female,48,1,4,Human Resources,3,Divorced,15529,11769,3,Y,No,12,3,4,80,3,15,3,4,9,7,3,3
38,No,Travel_Rarely,214,Sales,29,1,Medical,1,109,1,Male,43,2,2,Laboratory Technician,4,Divorced,5865,11204,0,Y,No,22,3,4,80,1,6,3,2,3,2,1,2
48,No,Travel_Frequently,602,Research & Development,11,1,Medical,1,110,1,Female,78,4,4,Healthcare Representative,1,Married,12895,10264,0,Y,No,16,3,1,80,3,6,5,2,3,1,1,0
29,No,Travel_Rarely,914,Research & Development,14,1,Life Sciences,1,111,4,Female,58,3,3,Research Director,4,Married,8584,9512,1,Y,No,18,3,1,80,0,5,5,2,2,0,0,2
51,No,Travel_Rarely,205,Sales,7,2,Life Sciences,1,112,3,Male,49,2,4,Manager,1,Single,13102,8516,1,Y,No,12,3,2,80,1,14,3,4,13,4,1,7
41,No,Travel_Frequently,128,Research & Development,23,2,Human Resources,1,113,3,Male,49,4,2,Sales Executive,1,Married,5681,16239,0,Y,No,17,3,3,80,2,9,6,3,7,4,3,3
37,No,Non-Travel,590,Research & Development,1,5,Marketing,1,114,3,Male,81,2,3,Research Scientist,2,Divorced,7555,21886,0,Y,No,23,4,4,80,3,0,3,1,0,0,0,0
39,No,Travel_Rarely,1350,Research & Development,29,5,Life Sciences,1,115,2,Male,68,4,3,Manufacturing Director,1,Single,8947,22280,0,Y,No,19,3,3,80,2,8,1,1,6,4,2,3
42,No,Non-Travel,943,Research & Development,29,1,Human Resources,1,116,2,Female,92,2,3,Manager,3,Married,6353,5198,2,Y,No,14,3,3,80,2,12,1,1,6,4,2,3
19,No,Travel_Rarely,832,Sales,4,5,Medical,1,117,4,Female,65,2,1,Manufacturing Director,3,Divorced,1654,15572,1,Y,No,13,3,3,80,3,0,2,1,0,0,0,0
24,Yes,Travel_Frequently,863,Research & Development,6,3,Life Sciences,1,118,4,Male,79,2,1,Sales Representative,2,Married,2048,14028,1,Y,Yes,20,3,3,80,1,6,2,1,1,1,0,1
28,No,Travel_Rarely,863,Sales,10,2,Life Sciences,1,119,4,Female,95,2,2,Sales Representative,4,Married,5308,22009,0,Y,No,21,3,4,80,3,11,1,4,9,6,2,7
22,No,Travel_Rarely,1285,Sales,21,3,Marketing,1,120,4,Male,87,3,1,Research Scientist,2,Single,1186,23652,1,Y,Yes,22,3,4,80,3,5,3,2,3,1,1,2
36,No,Travel_Rarely,548,Sales,3,3,Life Sciences,1,121,4,Male,83,4,2,Healthcare Representative,4,Single,4440,10346,1,Y,Yes,12,3,2,80,3,13,1,4,9,5,2,7
46,No,Travel_Rarely,479,Research & Development,8,1,Medical,1,122,3,Female,70,3,4,Manufacturing Director,3,Single,14934,21743,2,Y,No,16,3,1,80,2,18,6,3,7,3,2,2
46,No,Travel_Rarely,497,Research & Development,17,5,Medical,1,123,2,Male,91,1,4,Research Scientist,3,Single,15077,16928,1,Y,No,11,3,4,80,0,11,2,1,2,1,1,1
38,No,Travel_Rarely,897,Research & Development,4,1,Life Sciences,1,124,1,Female,97,3,2,Laboratory Technician,4,Single,2460,8752,1,Y,No,22,3,2,80,3,12,4,1,12,4,2,6
54,No,Travel_Rarely,476,Sales,11,1,Human Resources,1,125,2,Male,38,2,5,Manufacturing Director,2,Single,18296,16059,3,Y,Yes,14,4,2,80,1,21,5,4,19,8,2,7
42,No,Travel_Rarely,1464,Sales,12,2,Life Sciences,1,126,2,Male,84,1,4,Sales Representative,1,Single,15530,2979,2,Y,Yes,15,3,1,80,3,11,6,1,11,4,3,9
21,No,Travel_Rarely,1065,Research & Development,5,1,Life Sciences,1,127,1,Male,30,2,1,Laboratory Technician,4,Single,3463,3442,1,Y,Yes,19,4,4,80,0,0,4,1,0,0,0,0
50,No,Travel_Rarely,540,Sales,12,1,Medical,1,128,2,Male,52,4,3,Sales Executive,3,Divorced,8989,12401,1,Y,No,13,3,1,80,0,18,1,2,14,12,6,11
42,No,Non-Travel,465,Research & Development,13,2,Medical,1,129,4,Male,87,2,2,Laboratory Technician,1,Single,6177,25961,0,Y,No,22,3,4,80,1,7,3,2,7,3,4,4
45,No,Non-Travel,711,Research & Development,7,2,Medical,1,130,2,Male,81,3,4,Sales Representative,4,Married,12849,16875,2,Y,No,17,3,1,80,3,10,0,1,4,3,2,2
42,No,Travel_Rarely,1303,Research & Development,3,1,Medical,1,131,2,Male,73,1,3,Manufacturing Director,3,Divorced,8757,18819,2,Y,No,19,3,1,80,0,10,1,3,2,0,1,1
41,No,Travel_Rarely,1490,Research & Development,2,5,Technical Degree,1,132,3,Male,77,4,4,Research Scientist,3,Single,14566,23381,0,Y,No,21,4,3,80,0,13,6,3,7,6,1,2
21,Yes,Travel_Rarely,845,Sales,16,5,Marketing,1,133,4,Female,41,4,1,Human Resources,1,Married,3128,13254,1,Y,No,20,3,1,80,1,4,0,2,4,3,1,3
42,No,Travel_Rarely,303,Sales,16,4,Marketing,1,134,4,Male,83,1,3,Sales Executive,4,Divorced,8028,15250,3,Y,No,11,3,2,80,3,16,2,3,8,7,2,1
52,No,Travel_Frequently,161,Research & Development,9,3,Life Sciences,1,135,4,Male,37,3,4,Research Scientist,3,Married,13942,9046,1,Y,No,12,4,1,80,0,14,0,3,6,3,3,4
31,No,Travel_Rarely,903,Research & Development,10,5,Life Sciences,1,136,1,Female,52,4,2,Laboratory Technician,3,Single,4132,8714,1,Y,Yes,23,4,3,80,3,4,3,1,2,1,0,1
43,Yes,Travel_Rarely,972,Research & Development,8,2,Medical,1,137,1,Male,36,4,3,Manager,1,Married,9237,24950,1,Y,Yes,24,3,1,80,1,15,5,2,13,6,2,3
19,No,Travel_Rarely,619,Sales,26,3,Life Sciences,1,138,3,Male,66,3,2,Sales Representative,3,Married,3778,19297,0,Y,No,14,3,3,80,2,0,0,1,0,0,0,0
32,No,Travel_Rarely,1344,Research & Development,8,1,Marketing,1,139,4,Female,91,3,2,Sales Executive,4,Married,4520,5379,0,Y,No,11,3,2,80,2,6,0,4,5,4,1,2
36,No,Travel_Frequently,166,Research & Development,29,4,Life Sciences,1,140,3,Male,92,3,3,Sales Representative,4,Single,9318,12097,0,Y,No,21,3,2,80,3,3,6,3,3,1,1,1
