Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,CareerGrowthScore,CompanyExperienceRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,SalaryLevel_Medium,SalaryLevel_High,SalaryLevel_Very High,TenureLevel_Short Term,TenureLevel_Experienced,TenureLevel_Long Term
37,0,538,10,5,4,93,3,2,2,5558,7101,0,25,3,4,1,14,6,2,9,2,2,6,3.0,6,0.6,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
56,0,539,2,3,3,34,1,4,1,13272,18377,2,11,3,2,1,13,6,4,10,8,4,4,2.5,16,0.7142857142857143,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
47,0,1120,17,3,3,39,1,4,2,12679,21621,2,14,4,1,0,12,0,4,11,7,5,9,2.5,16,0.8461538461538461,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
51,0,1179,19,1,3,63,2,3,1,7130,26281,7,11,3,1,3,21,4,1,21,6,10,7,1.5,19,0.9545454545454546,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True
50,0,143,29,2,4,85,2,4,2,13792,18950,2,22,3,2,0,22,1,3,9,2,0,7,2.75,6,0.391304347826087,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
26,0,1097,14,3,1,51,3,2,1,5624,15124,2,13,4,2,2,13,0,1,12,9,2,6,1.25,13,0.8571428571428571,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
33,0,644,9,2,2,38,2,3,1,8268,19277,2,15,3,4,3,8,3,1,7,5,4,5,2.0,12,0.7777777777777778,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
38,0,604,17,3,2,42,2,2,3,4501,8273,0,14,3,4,0,12,3,4,12,10,4,3,3.25,16,0.9230769230769231,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True
39,0,811,5,1,4,50,4,3,4,8335,23931,4,11,3,4,2,14,3,3,11,3,3,7,3.75,9,0.7333333333333333,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
19,0,754,8,2,1,57,4,1,1,2613,3103,2,24,3,1,3,6,0,2,3,2,0,1,1.25,3,0.42857142857142855,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
41,1,1470,18,4,1,70,2,2,4,4250,24646,1,16,4,3,1,13,4,1,4,1,0,3,2.25,3,0.2857142857142857,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False
24,0,873,10,4,4,84,2,2,4,5600,4687,0,23,3,2,1,7,3,2,7,5,4,2,3.0,11,0.875,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False
49,0,1255,3,5,2,39,3,4,1,16172,25652,0,18,3,1,2,17,0,4,14,7,4,6,2.0,15,0.7777777777777778,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
47,0,1342,10,5,4,84,4,4,1,13821,21450,4,11,3,2,3,16,2,3,13,9,6,8,2.5,19,0.7647058823529411,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
57,0,1474,13,5,1,100,3,5,1,17247,12547,3,13,3,3,2,16,0,1,11,2,2,5,1.5,9,0.6470588235294118,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
50,0,1026,10,1,3,55,1,5,3,19999,14179,2,11,3,1,0,15,6,2,11,8,2,8,2.25,15,0.6875,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
33,0,1425,3,4,4,44,3,1,3,4509,9421,1,14,4,4,2,6,5,1,5,2,2,3,3.0,5,0.7142857142857143,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
59,0,929,1,2,4,99,3,5,4,19999,7290,1,19,3,3,0,16,3,1,13,10,6,3,3.0,21,0.7647058823529411,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
35,0,617,20,2,2,94,4,3,3,8449,9900,1,12,3,4,3,3,0,1,3,1,1,2,2.5,5,0.75,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
32,0,1234,19,2,3,38,4,2,1,4560,23514,0,16,3,1,1,6,5,4,4,3,1,2,2.25,6,0.5714285714285714,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
56,0,1334,7,3,4,89,3,5,4,17928,8414,6,11,3,1,2,18,2,1,7,2,2,4,2.5,9,0.3684210526315789,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
33,0,527,7,1,4,90,3,1,4,4369,12954,0,23,3,4,2,9,4,1,1,1,0,0,3.25,2,0.1,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
21,0,1446,9,3,2,51,1,2,3,7427,19164,0,16,3,4,1,5,5,4,1,1,0,0,3.25,3,0.16666666666666666,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
38,0,722,21,1,1,99,4,3,4,7396,21912,4,25,3,3,3,11,2,4,11,5,4,8,3.0,12,0.9166666666666666,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True
52,0,423,13,3,2,43,2,3,2,5476,9670,1,15,3,1,3,16,6,3,14,5,1,11,2.0,9,0.8235294117647058,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
26,0,1061,28,4,2,70,3,1,3,2979,22299,0,18,3,2,2,2,1,4,1,0,0,1,2.75,1,0.3333333333333333,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37,0,441,13,1,3,79,3,2,3,4415,6453,4,18,4,4,3,13,2,1,7,3,1,4,2.75,6,0.5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
23,1,666,6,1,3,34,1,1,2,2151,19973,0,13,3,4,0,3,1,1,3,2,1,1,2.5,4,0.75,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
47,0,847,7,5,2,95,2,3,4,8214,4825,0,22,4,3,0,13,2,2,8,2,4,4,2.75,9,0.5714285714285714,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
38,0,771,17,4,4,95,3,2,3,5992,26315,1,24,3,2,1,10,5,4,10,2,5,3,3.25,9,0.9090909090909091,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
32,0,264,29,2,1,56,2,3,4,7563,4579,0,23,3,4,0,5,3,1,1,0,0,1,2.5,3,0.16666666666666666,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
27,0,326,14,5,4,61,3,3,2,8663,24431,0,17,3,2,1,4,6,3,4,2,1,1,2.75,6,0.8,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False
42,1,213,24,2,3,56,3,3,2,8349,21037,1,22,4,1,0,10,6,1,4,1,1,3,1.75,5,0.36363636363636365,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False
46,0,954,16,5,4,42,1,3,4,5734,5218,1,17,3,2,1,13,2,4,9,6,2,3,3.5,11,0.6428571428571429,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
58,0,1487,15,1,3,92,2,5,1,19654,21389,1,13,3,2,0,22,5,1,18,4,2,3,1.75,11,0.782608695652174,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
36,0,996,29,4,4,93,2,3,3,7959,10655,0,21,3,3,1,11,3,3,6,5,2,4,3.25,10,0.5,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
24,0,882,5,1,1,70,2,1,4,1483,26562,2,17,3,3,1,10,2,3,5,4,0,1,2.75,5,0.45454545454545453,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
53,0,1298,9,1,1,60,1,4,4,13129,25859,2,16,3,3,1,21,2,2,5,2,1,1,2.5,7,0.22727272727272727,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
45,0,136,8,3,3,78,1,3,4,8744,25209,5,12,3,1,3,20,0,4,10,8,3,5,3.0,14,0.47619047619047616,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
48,0,221,12,1,1,65,2,4,3,14055,18420,4,14,3,3,2,17,3,3,10,6,4,8,2.5,14,0.5555555555555556,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
22,0,1485,3,3,1,83,4,1,1,3773,24428,0,17,4,1,0,5,4,2,2,1,0,1,1.25,2,0.3333333333333333,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
31,0,1358,11,2,2,70,4,2,2,6024,13145,1,22,4,4,2,6,6,3,0,0,0,0,2.75,2,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
51,0,877,7,1,2,42,4,3,4,7094,3559,4,16,4,2,3,19,2,2,7,5,2,2,2.5,10,0.35,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False
53,0,222,7,5,3,94,4,5,3,15455,23565,3,13,3,4,0,15,0,3,12,4,6,6,3.25,15,0.75,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
36,0,367,25,5,3,60,4,3,2,8645,3283,0,16,3,4,0,4,3,3,0,0,0,0,3.0,3,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
52,0,1143,6,5,3,65,3,5,4,19757,18005,4,11,3,1,3,22,2,2,21,6,4,12,2.5,15,0.9130434782608695,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
54,1,424,29,1,4,77,1,4,2,13757,15560,3,17,4,1,0,13,6,3,4,2,2,2,2.5,8,0.2857142857142857,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
34,0,924,13,2,1,93,2,3,2,9293,11323,3,18,3,4,3,10,4,4,4,3,0,3,2.75,6,0.36363636363636365,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
56,0,1160,1,2,4,59,3,5,2,17798,20506,2,21,3,2,1,16,6,3,7,2,1,4,2.75,8,0.4117647058823529,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
30,0,669,24,2,2,42,2,2,2,5085,8849,2,11,3,1,3,11,2,2,0,0,0,0,1.75,2,0.0,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
28,1,759,1,3,3,37,2,2,3,4395,25277,5,20,3,3,2,10,3,2,9,7,2,4,2.75,11,0.8181818181818182,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
47,0,1392,4,3,4,73,1,3,4,9337,23290,2,22,3,4,3,16,0,4,13,5,5,5,4.0,13,0.7647058823529411,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
45,0,1471,15,3,2,59,2,5,4,17908,24976,2,23,3,3,3,18,0,4,18,5,6,7,3.25,16,0.9473684210526315,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
24,1,739,10,2,1,67,2,1,2,5472,23182,0,25,3,2,2,4,2,2,3,1,1,2,1.75,3,0.6,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False
53,0,387,19,5,4,90,4,4,2,13398,22685,3,21,3,2,0,25,2,3,6,5,2,2,2.75,11,0.23076923076923078,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
26,0,136,7,5,3,53,4,1,4,3958,24964,1,25,3,2,3,8,4,1,2,1,0,0,2.5,2,0.2222222222222222,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
52,0,353,7,2,1,75,1,4,3,13413,24970,3,16,3,3,0,14,1,3,11,7,4,5,2.5,15,0.7333333333333333,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
18,0,829,8,2,2,45,3,1,1,4605,21633,0,13,4,2,1,2,6,1,2,2,1,0,1.5,4,0.6666666666666666,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
52,0,1470,16,3,4,79,4,5,3,19999,21960,3,11,4,2,1,16,5,2,5,3,2,2,2.75,10,0.29411764705882354,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
51,0,845,19,2,3,34,2,4,4,13611,6695,2,24,3,1,1,15,6,4,11,8,3,6,3.0,15,0.6875,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
51,0,1475,4,5,4,44,4,3,2,8830,6438,3,12,3,1,0,11,2,1,11,7,3,8,2.0,13,0.9166666666666666,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
46,0,1141,26,3,3,48,1,4,3,15529,11769,3,12,3,4,3,15,3,4,9,7,3,3,3.5,14,0.5625,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
38,0,214,29,1,1,43,2,2,4,5865,11204,0,22,3,4,1,6,3,2,3,2,1,2,2.75,5,0.42857142857142855,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
